Allergen / Source,Common Symptoms,Less Common Symptoms / Notes
Wool,"Itching, redness, rash, scaly skin","Hives, burning sensation, swelling (especially in those with atopic dermatitis or sensitive skin)"
"Polyester, Nylon, Rayon, Spandex, Rubber (synthetic fibers)","Itching, redness, rash, discomfort due to poor breathability and sweating","Blisters, burning sensation, allergic contact dermatitis (especially after prolonged exposure or sweating)"
Synthetic Dyes (dark/vibrant colors),"Redness, itching, rash, swelling at contact points","Blisters, hives, burning sensation; reactions may occur after repeated exposure or with high dye content"
"Formaldehyde Resins (wrinkle-free, dirt-repellent, permanent press finishes)","Itching, redness, rash, scaly skin","Allergic contact dermatitis, blisters, burning sensation"
"Other Chemicals (glues, tanning agents for leather, finishing resins)","Red, itchy skin, rash, hives","Swelling, blisters, burning sensation"
"Nickel (buttons, zippers, fasteners)","Red, itchy rash at contact site (nickel dermatitis)","Blisters, swelling, chronic irritation if exposure continues"
"Latex (elastic bands, gloves)","Itching, redness, rash, swelling","Hives, blisters, respiratory symptoms (rare in clothing, more common with medical gloves)"
Detailed Symptom Descriptions:,,
"Itching: Persistent urge to scratch, often with redness.",,
"Redness: Inflamed skin, sometimes visibly irritated.",,
"Rash: Raised, bumpy, or scaly patches, may spread beyond contact area.",,
"Hives: Swollen, pale red bumps or plaques that appear suddenly.",,
"Blisters: Small fluid-filled bumps, often indicate severe reaction.",,
"Burning Sensation: Skin feels hot or stinging, sometimes visibly inflamed.",,
Swelling: Puffiness or enlargement of skin at contact site.,,
"Contact Dermatitis: Combination of redness, itching, rash, sometimes blisters, usually localized.",,
Additional Notes:,,
"People with sensitive skin, atopic dermatitis, or allergies are at higher risk.",,
Symptoms may appear immediately or after prolonged exposure.,,
"Some allergens (dyes, chemicals) may be present in higher concentrations in new or unwashed garments.",,